"application_date","snapshot_date","country","base_ccy","referrer","entity","server","house_name","org","application_type","kyc_status","screening_status","batch_result","received_docs","num_inbound_emails","num_inbound_calls","num_outbound_emails","num_outbound_calls","is_converted"
"2020-08-19","2020-08-19","China","USD","unknown","Entity2","J10","cat11","1","Individual","Complete","Ops Reviewed","match",True,,,3,2,False
"2020-08-19","2020-08-19","Philippines","USD","unknown","Entity2","E8","cat2","1","Individual","Missing ID","Batch - Reviewed","match",True,,,4,2,False
"2020-08-19","2020-08-19","Spain","EUR","referrer3","Entity3","G","cat15","1","Individual",,"Completed","PASS",True,,,2,1,False
"2020-08-30","2020-08-30","United Kingdom","GBP","unknown","Entity3","P","cat5","1","Individual","Complete","Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Complete","Completed","PASS",True,,,,,False
"2020-08-19","2020-08-19","Vietnam","USD","referrer7","Entity2","E3","cat2","1","Individual",,"Completed","PASS",True,,,3,1,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Complete","Ops Reviewed","PASS",,,,,,False
"2020-08-19","2020-08-19","Vietnam","USD","referrer6","Entity2","E3","cat3","1","Individual",,"Batch - Processed","PASS",,,,3,2,False
"2020-08-19","2020-08-19","Vietnam","USD","referrer7","Entity2","J10","cat2","1","Individual",,"Batch - Reviewed","match",,,,3,2,False
"2020-08-19","2020-08-19","Pakistan","USD","unknown","Entity2","E8","cat3","1","Individual","Missing POR","Batch - Processed","PASS",True,,,,1,False
"2020-09-02","2020-09-02","China","USD","referrer30","Entity2","E8","cat12","1","Individual",,"Ops Reviewed","match",,,,,,True
"2020-08-19","2020-08-19","Australia","AUD","unknown","Entity1","F","cat6","1","Individual","Complete","Completed","PASS",True,,,1,,True
"2020-08-19","2020-08-19","Kazakhstan","USD","unknown","Entity2","E8","cat3","1","Individual","Missing POR","Batch - Processed","PASS",True,,,,2,False
"2020-08-30","2020-08-30","France","EUR","referrer4","Entity3","N2","cat13","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-09-16","2020-09-16","Nigeria","USD","referrer2","Entity4","J10","cat1","1","Individual",,"Batch - Reviewed","match",,,,,,False
"2020-08-09","2020-08-12","Vietnam","USD","referrer7","Entity2","E8","cat2","1",,,,,,,,3,1,False
"2020-08-19","2020-08-19","Indonesia","USD","unknown","Entity2","J10","cat2","1","Individual",,"Completed","PASS",True,,,4,1,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat29","1","Individual",,"Ops Reviewed","match",,,,,,True
"2020-08-19","2020-08-19","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,2,1,False
"2020-08-19","2020-08-19","China","USD","unknown","Entity2","E3","cat29","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-08-30","2020-08-30","Indonesia","USD","referrer29","Entity2","E3","cat2","1","Individual",,"Batch - Processed","PASS",True,,,,,False
"2020-08-19","2020-08-19","Malaysia","USD","unknown","Entity2","E8","Other","1","Individual","Missing ID","Batch - Processed","PASS",,,,,,False
